playerId,player,team,playerposition,age,exp,bye,points,lower,upper,depth chart,2017projection,Insystem,QB_status,Support_status,News_analysts
79629,Cedric Peerman,CIN,RB,31,8,6,2.560880682,0,4.767262997,4,,,,,
2539637,Caleb Sturgis,PHI,K,28,4,10,135.7047431,127.7206718,142.764244,,,,,,
2543614,Donte Moncrief,IND,WR,24,3,11,119.5470231,100.037,141.2818027,,,,,,
2552409,DeVante Parker,MIA,WR,24,2,11,119.3683535,93.26631692,137.8949963,,,,,,
2552466,Marcus Mariota,TEN,QB,24,2,8,244.4263315,170.6798985,271.7825229,,,,,,
2504257,Sebastian Janikowski,OAK,K,39,17,10,134.3640214,123.8309504,140.8037192,,,,,,
100021,Patriots,NE,DST,NA,NA,9,171.1910421,95.1,114.1950459,,,,,,
2495143,Andy Dalton,CIN,QB,30,6,6,243.913367,176.1308,261.8599989,,,,,,
2543499,Derek Carr,OAK,QB,26,3,10,243.8963353,184.7132,262.6933481,,,,,,
2539227,Dustin Hopkins,WAS,K,27,4,5,133.5333775,122.8464252,138.5098617,,,,,,
2506109,Ben Roethlisberger,PIT,QB,35,13,9,243.2682966,207.7156,251.3673377,,,,,,
100020,Vikings,MIN,DST,NA,NA,9,170.2293928,84.7,123.0218924,,,,,,
100013,Texans,HOU,DST,NA,NA,7,169.8914227,82.6,116.7168605,,,,,,
2553913,Tyrell Williams,LAC,WR,NA,NA,8,117.4438835,85,136.8402275,,,,,,
2552415,Jamison Crowder,WAS,WR,24,2,5,116.4894114,86.056,129.1107695,,,,,,
2555341,Hunter Henry,LAC,TE,23,1,8,93.55454632,45.371,112.3306214,,,,,,
2556493,Tra Carson,CIN,RB,25,1,6,0.004497937,0,0.006770642,4,,,,,
100016,Chiefs,KC,DST,NA,NA,10,168.6418894,76.5,116.4843458,,,,,,
2346,Pierre Garcon,SF,WR,31,9,11,116.0346012,50.32190239,134.509659,,,,,,
2550545,Chris Boswell,PIT,K,28,3,9,131.2935459,116.6682212,139.9794884,,,,,,
2550636,Cairo Santos,KC,K,26,3,10,131.1430448,124.7,137.3957139,,,,,,
2541556,Brandon McManus,DEN,K,26,3,5,130.9780907,126.0438452,135.9674451,,,,,,
2550189,Isaiah Crowell,CLE,RB,24,3,9,160.2716483,141.3080836,169.7640167,1,,,,,
2506194,Nick Novak,HOU,K,NA,NA,7,129.4151457,119.1662708,137.5482042,,,,,,
2552461,Duke Johnson,CLE,RB,24,2,9,106.7474464,93.809,115.7720905,2,,,,,
71217,Kenny Britt,CLE,WR,29,8,9,113.5315074,70.97026063,123.6234141,,,,,,
2556454,Brandon Wilds,CLE,RB,24,1,9,4.977084314,-0.096358543,8.52444,3,,,,,
100023,Giants,NYG,DST,NA,NA,8,165.6499094,70.3,116.3591121,,,,,,
100025,Eagles,PHI,DST,NA,NA,10,165.5844857,73.9,116.3011628,,,,,,
2507763,Mike Wallace,BAL,WR,31,8,10,113.1066233,87.285,126.3601372,,,,,,
2555218,Dan Vitale,CLE,RB,NA,1,9,4.114862989,0,7.853907069,4,,,,,
100027,Steelers,PIT,DST,NA,NA,9,165.1962302,83.6,111.1480349,,,,,,
2540232,Jack Doyle,IND,TE,27,4,11,89.7404172,59.31916893,102.2451393,,,,,,
2495150,Kai Forbath,MIN,K,30,6,9,127.6177592,121,138.0952807,,,,,,
2551357,Glenn Winston,CLE,RB,28,3,9,1.802377415,-0.6,2.905755814,4,,,,,
2543466,Eric Ebron,DET,TE,24,3,7,88.56088564,66.54123457,93.97676539,,,,,,
100017,Rams,LAC,DST,NA,NA,8,163.7746008,97,107.3329362,,,,,,
100030,Seahawks,SEA,DST,NA,NA,6,163.6087993,76,114.5757151,,,,,,
80429,Jeremy Maclin,BAL,WR,29,8,10,111.1144217,89.229,120.6610546,,,,,,
2553112,Jason Myers,JAC,K,NA,NA,8,126.3080853,118.6211543,130.6556409,,,,,,
2500351,Phil Dawson,ARI,K,42,19,8,125.9575653,101.9,131.5743507,,,,,,
100012,Titans,TEN,DST,NA,NA,8,162.9930811,91.3,110.2442703,,,,,,
2553833,Josh Lambo,LAC,K,27,2,8,125.6637837,116.5,132.0970184,,,,,,
2532884,Marvin Jones,DET,WR,27,5,7,109.5006302,92.9821277,119.1269745,,,,,,
89802,Ryan Succop,TEN,K,31,8,8,124.7351433,99.4,134.2521796,,,,,,
2506121,Philip Rivers,LAC,QB,36,13,8,233.8703394,165.795,252.1661197,,,,,,
100028,Chargers,LAR,DST,NA,NA,9,160.3047462,102,149.8561,,,,,,
2541785,Adam Thielen,MIN,WR,27,3,9,107.4455782,74.18513032,123.0151639,,,,,,
100011,Packers,GB,DST,NA,NA,8,159.7234391,71.6,110.334939,,,,,,
100002,Ravens,BAL,DST,NA,NA,10,159.6494789,73.9,108.3653198,,,,,,
2505629,Jason Witten,DAL,TE,35,14,6,84.27242939,76.03721334,90.75925638,,,,,,
2532838,Coby Fleener,NO,TE,29,5,5,84.13157101,66.615,95.11912377,,,,,,
100003,Bills,BUF,DST,NA,NA,6,159.490947,79.8,105.8674419,,,,,,
100019,Dolphins,MIA,DST,NA,NA,11,159.4518396,81.6,105.3584302,,,,,,
2550656,Cameron Brate,TB,TE,26,3,11,83.35214824,53.23332337,94.99093739,,,,,,
2556273,Darius Jackson,CLE,RB,24,1,9,1.592511199,-0.138709677,3.509215116,4,,,,,
2543500,Jordan Matthews,PHI,WR,25,3,10,105.4178684,94.26250176,113.2542639,,,,,,
100006,Bengals,CIN,DST,NA,NA,6,157.7173765,80.6,103.797718,,,,,,
2507374,Steven Hauschka,BUF,K,NA,NA,6,120.3826381,112.6412368,128.40073,,,,,,
100008,Cowboys,DAL,DST,NA,NA,6,157.2031763,74.9,104.659593,,,,,,
2540202,Kenny Stills,MIA,WR,25,4,11,104.6623624,84.86710872,117.1191306,,,,,,
2543847,John Brown,ARI,WR,27,3,8,104.397488,82.91707819,125.8976503,,,,,,
2543828,Quincy Enunwa,NYJ,WR,25,3,11,104.1510329,56.7738818,126.9168577,,,,,,
2507166,Ted Ginn,NO,WR,32,10,5,104.0586312,88.97026063,118.602311,,,,,,
2555333,Corey Coleman,CLE,WR,23,1,9,104.0059532,86.52318244,116.9327914,,,,,,
2532956,Ryan Tannehill,MIA,QB,29,5,11,228.9024313,188.416,242.5311264,,,,,,
100014,Colts,IND,DST,NA,NA,11,155.8834481,76.1,108.6035494,,,,,,
2555224,Ezekiel Elliott,DAL,RB,22,1,6,248.9942625,214.041,265.8457271,1,,,,,
2539336,Tavon Austin,LAR,WR,26,4,9,103.1438537,78.18833549,120.3183439,,,,,,
284,Darren McFadden,DAL,RB,30,9,6,65.00761726,39.3,90.73156774,2,,,,,
2543477,Blake Bortles,JAC,QB,26,3,8,226.4064069,174.813,245.4941677,,,,,,
2495139,Charles Clay,BUF,TE,28,6,6,78.21455413,66.6722085,85.58610271,,,,,,
71265,Jared Cook,OAK,TE,30,8,10,78.03965076,65.3722085,90.64186849,,,,,,
2543721,C.J. Fiedorowicz,HOU,TE,26,3,7,77.86725956,64.30214699,85.18195378,,,,,,
2505299,Antonio Gates,LAC,TE,37,14,8,77.83547453,62.22819581,87.17627796,,,,,,
2550617,Taylor Gabriel,ATL,WR,26,3,5,99.57936639,75.00352317,122.6006637,,,,,,
2495353,Julius Thomas,MIA,TE,29,6,11,76.42369065,67.40922781,84.37989587,,,,,,
2555415,Austin Hooper,ATL,TE,NA,1,5,76.02262751,55.67635818,88.16864121,,,,,,
2556771,Aldrick Rosas,NYG,K,23,1,8,113.2598369,101,117.3580022,,,,,,
2533457,Alfred Morris,DAL,RB,29,5,6,21.9363713,6.985729933,30.78823587,3,,,,,
2552656,J.J. Nelson,ARI,WR,25,2,8,96.03398432,73.865,112.8809352,,,,,,
